,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
35,CHEMBL1202210,Br.Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,421.8100000000002,5.152020000000006,0.0,2.0,6.892790030352131
36,CHEMBL341497,c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3)CC2)cc1,292.42600000000004,3.612300000000003,0.0,2.0,7.431798275933005
37,CHEMBL1202215,Br.Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,407.78300000000024,4.843600000000006,0.0,2.0,8.301029995663981
38,CHEMBL1202212,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,442.2280000000002,5.497000000000005,0.0,2.0,6.681936665037238
39,CHEMBL1202209,Br.Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,405.3550000000002,4.637720000000004,0.0,2.0,7.167491087293763
40,CHEMBL1202204,Br.COc1c(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,472.25400000000025,5.505600000000004,0.0,3.0,6.642065152999546
41,CHEMBL1202207,Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccncc3)CC2)cc1,374.326,3.585200000000002,0.0,3.0,5.0
42,CHEMBL1204116,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,442.2280000000002,5.497000000000005,0.0,2.0,7.031517051446065
43,CHEMBL1202206,Br.COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,472.25400000000025,5.505600000000005,0.0,3.0,8.154901959985743
44,CHEMBL1202208,Br.Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,401.3920000000001,4.807040000000004,0.0,2.0,7.136677139879544
45,CHEMBL1204119,Br.Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,401.3920000000001,4.807040000000004,0.0,2.0,7.346787486224656
46,CHEMBL1202205,Br.COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,437.80900000000025,4.852200000000005,0.0,3.0,8.301029995663981
47,CHEMBL1202224,Br.COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,403.36400000000015,4.198800000000003,0.0,3.0,6.123782159408358
48,CHEMBL1202225,Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,442.22800000000024,5.497000000000005,0.0,2.0,7.494850021680094
49,CHEMBL1202223,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3cccc(Cl)c3)CC2)cc1,425.77300000000014,4.982700000000004,0.0,2.0,7.251811972993799
50,CHEMBL1202214,Br.Br.COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,502.2660000000003,4.915800000000005,0.0,3.0,8.0
51,CHEMBL22242,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,371.2750000000001,2.6804000000000006,1.0,4.0,6.055517327849832
