Name;RF;XGB;Mean;SD;CV
ZINC000003927200;6.640721507;6.3772774;6.508999454;0.131722054;0.020236913
ZINC000008214635;6.591173938;6.201647;6.396410469;0.194763469;0.03044887
ZINC000012360535;6.3187578;5.988127;6.1534424;0.1653154;0.026865515
ZINC000019364219;5.950762496;5.6780295;5.814395998;0.136366498;0.023453253
ZINC000003813010;6.11176422;6.1403866;6.12607541;0.01431119;0.002336111
ZINC000003806063;6.088325781;5.7352004;5.911763091;0.176562691;0.029866334
ZINC000000004448;6.455232639;5.646269;6.05075082;0.40448182;0.066848203
ZINC000009212654;5.978324501;5.3632703;5.670797401;0.307527101;0.054229957
ZINC000000538564;6.46512423;6.167044;6.316084115;0.149040115;0.023596917
ZINC000019632718;6.285170622;5.5811014;5.933136011;0.352034611;0.059333649
ZINC000000897251;5.867274568;5.8925104;5.879892484;0.012617916;0.002145943
ZINC000000968326;5.931470935;5.5180225;5.724746718;0.206724218;0.036110631
ZINC000000968345;6.134823613;5.7331324;5.933978007;0.200845607;0.033846706
ZINC000001554588;5.809138279;5.3826923;5.59591529;0.21322299;0.038103327
ZINC000003830569;5.781385746;5.775939;5.778662373;0.002723373;0.000471281
ZINC000000592419;6.411277099;5.54891;5.98009355;0.43118355;0.072103145
ZINC000021297660;5.606721368;5.5127034;5.559712384;0.047008984;0.008455291
ZINC000001530555;5.925921323;5.3839746;5.654947962;0.270973362;0.047917923
ZINC000009224016;5.763947407;5.3146434;5.539295404;0.224652004;0.040556061
ZINC000019632713;6.285170622;5.5811014;5.933136011;0.352034611;0.059333649
ZINC000003944422;6.833705385;6.307097;6.570401193;0.263304193;0.040074295
ZINC000008403947;6.319129238;6.3459554;6.332542319;0.013413081;0.002118119
ZINC000052955754;8.313116478;8.240086;8.276601239;0.036515239;0.004411864
ZINC000003815424;5.504147248;4.989678;5.246912624;0.257234624;0.049025902
ZINC000004097383;7.194100104;6.7032485;6.948674302;0.245425802;0.035319802
ZINC000003960338;5.140699094;5.1117477;5.126223397;0.014475697;0.002823852
ZINC000003861768;6.102864203;6.331222;6.217043102;0.114178899;0.018365467
ZINC000000538266;6.445603599;6.455578;6.4505908;0.004987201;0.000773139
ZINC000238809662;6.609096371;6.0008254;6.304960886;0.304135486;0.04823749
ZINC000253387843;6.282178473;6.018198;6.150188237;0.131990237;0.02146117
ZINC000012503291;6.340640694;5.959733;6.150186847;0.190453847;0.030967164
ZINC000000113442;5.573123656;5.123727;5.348425328;0.224698328;0.042012053
ZINC000001538857;5.956098979;5.5532274;5.75466319;0.20143579;0.035003923
ZINC000001542392;6.230330797;5.6259923;5.928161549;0.302169249;0.050971831
ZINC000003820029;6.587430403;6.248959;6.418194702;0.169235702;0.026368116
ZINC000011616925;6.401240088;5.471284;5.936262044;0.464978044;0.078328423
ZINC000022056030;6.278060295;6.289819;6.283939648;0.005879352;0.000935616
ZINC000000004778;6.193081158;5.022307;5.607694079;0.585387079;0.104389981
ZINC000000000746;6.173790665;6.2655234;6.219657033;0.045866367;0.007374421
ZINC000000136138;5.555646067;4.8411627;5.198404384;0.357241684;0.068721411
ZINC000001530752;5.465138737;5.437386;5.451262369;0.013876369;0.002545533
ZINC000002005550;6.138273371;5.7272654;5.932769386;0.205503986;0.034638796
ZINC000003938704;6.24708726;5.474912;5.86099963;0.38608763;0.065874024
ZINC000247651495;5.673976921;5.1323376;5.403157261;0.270819661;0.050122483
ZINC000003778874;5.658078796;5.398484;5.528281398;0.129797398;0.023478797
ZINC000003812944;5.775707427;5.5566163;5.666161864;0.109545564;0.019333292
ZINC000000538509;5.42332331;5.334126;5.378724655;0.044598655;0.008291678
ZINC000001482049;7.364542725;10.016295;8.690418863;1.325876138;0.152567576
ZINC000242437513;5.908746505;5.204021;5.556383753;0.352362753;0.063415842
ZINC000003784120;5.684614514;5.701333;5.692973757;0.008359243;0.001468344
ZINC000003830958;6.315228129;5.5282283;5.921728215;0.393499915;0.066450181
ZINC000004213474;6.56889837;6.0053053;6.287101835;0.281796535;0.044821373
ZINC000247316127;5.673976921;5.1323376;5.403157261;0.270819661;0.050122483
ZINC000008214662;5.237706796;5.0540705;5.145888648;0.091818148;0.017843011
ZINC000016159083;7.534435961;7.498784;7.516609981;0.017825981;0.002371545
ZINC000022851765;5.82663704;5.4608636;5.64375032;0.18288672;0.032405176
ZINC000028639340;6.3563025;6.1058626;6.23108255;0.12521995;0.020096018
ZINC000003794601;6.193690192;6.1125097;6.153099946;0.040590246;0.006596715
ZINC000003813003;6.067646048;5.790318;5.928982024;0.138664024;0.023387493
ZINC000004258316;5.686536858;5.092956;5.389746429;0.296790429;0.05506575
ZINC000001543873;6.078128064;6.0040226;6.041075332;0.037052732;0.006133466
ZINC000001846431;5.747723344;6.053651;5.900687172;0.152963828;0.025923053
ZINC000003818726;6.216158461;6.154667;6.185412731;0.030745731;0.004970684
ZINC000003843378;5.857150046;5.252571;5.554860523;0.302289523;0.054418922
ZINC000004214603;6.635210135;5.858421;6.246815568;0.388394568;0.062174809
ZINC000005844788;5.233619835;5.3840475;5.308833668;0.075213833;0.014167675
ZINC000253498282;6.126762916;5.8116326;5.969197758;0.157565158;0.026396371
ZINC000014164617;6.304296184;5.661161;5.982728592;0.321567592;0.05374932
ZINC000204073689;6.321010972;6.092287;6.206648986;0.114361986;0.018425722
ZINC000100008319;6.340640694;5.959733;6.150186847;0.190453847;0.030967164
ZINC000100061056;5.811123315;5.6041555;5.707639408;0.103483908;0.018130772
ZINC000003800008;5.957797216;5.785431;5.871614108;0.086183108;0.014677924
ZINC000003830347;5.933873261;5.723455;5.828664131;0.105209131;0.018050299
ZINC000003921872;5.621480084;5.567801;5.594640542;0.026839542;0.004797367
ZINC000012404516;5.452223417;5.3629956;5.407609509;0.044613909;0.008250209
ZINC000004099032;6.152990132;5.7145195;5.933754816;0.219235316;0.036947148
ZINC000000002101;5.918375463;5.765267;5.841821232;0.076554232;0.013104515
ZINC000001530751;5.465138737;5.437386;5.451262369;0.013876369;0.002545533
ZINC000001530981;6.351818912;6.510674;6.431246456;0.079427544;0.012350257
ZINC000001530862;6.367258968;5.886936;6.127097484;0.240161484;0.039196615
ZINC000003824921;6.285766384;6.0422554;6.164010892;0.121755492;0.019752641
ZINC000053229445;7.143727312;6.5603313;6.852029306;0.291698006;0.042571039
ZINC000000002041;6.422577319;5.988879;6.20572816;0.21684916;0.034943387
ZINC000068153186;5.650921936;5.767382;5.709151968;0.058230032;0.010199419
ZINC000068202099;6.39844528;5.7518167;6.07513099;0.32331429;0.053219312
ZINC000068204830;5.890322506;5.9721546;5.931238553;0.040916047;0.006898398
